Perido,Industria,Departamento,Cargo,Región,Sueldo_Min,Sueldo_Max
2025-Q1,IT,IT,Arquitecto de Software,Buenos Aires,6608324,7541460
2025-Q1,IT,IT,Arquitecto de Software,Cuyo,6079658.08,6938143.2
2025-Q1,IT,IT,Arquitecto de Software,Litoral,6079658.08,6938143.2
2025-Q1,IT,IT,Arquitecto de Software,NEA,5815325.12,6636484.8
2025-Q1,IT,IT,Arquitecto de Software,NOA,5815325.12,6636484.8
2025-Q1,IT,IT,Arquitecto de Software,Patagonia,6608324,7541460
2025-Q1,Lab & Pharma,IT,Arquitecto de Software,Buenos Aires,6608000,7542500
2025-Q1,Lab & Pharma,IT,Arquitecto de Software,Cuyo,6079360,6939100
2025-Q1,Lab & Pharma,IT,Arquitecto de Software,Litoral,6079360,6939100
2025-Q1,Lab & Pharma,IT,Arquitecto de Software,NEA,5815040,6637400
2025-Q1,Lab & Pharma,IT,Arquitecto de Software,NOA,5815040,6637400
2025-Q1,Lab & Pharma,IT,Arquitecto de Software,Patagonia,6608000,7542500
2025-Q1,Manufactura,IT,Arquitecto de Software,Buenos Aires,5835047,6245660
2025-Q1,Manufactura,IT,Arquitecto de Software,Cuyo,5368243.24,5746007.2
2025-Q1,Manufactura,IT,Arquitecto de Software,Litoral,5368243.24,5746007.2
2025-Q1,Manufactura,IT,Arquitecto de Software,NEA,5134841.36,5496180.8
2025-Q1,Manufactura,IT,Arquitecto de Software,NOA,5134841.36,5496180.8
2025-Q1,Manufactura,IT,Arquitecto de Software,Patagonia,5835047,6245660
2025-Q1,Retail & Comercio,IT,Arquitecto de Software,Buenos Aires,5835000,6245690
2025-Q1,Retail & Comercio,IT,Arquitecto de Software,Cuyo,5368200,5746034.8
2025-Q1,Retail & Comercio,IT,Arquitecto de Software,Litoral,5368200,5746034.8
2025-Q1,Retail & Comercio,IT,Arquitecto de Software,NEA,5134800,5496207.2
2025-Q1,Retail & Comercio,IT,Arquitecto de Software,NOA,5134800,5496207.2
2025-Q1,Retail & Comercio,IT,Arquitecto de Software,Patagonia,5835000,6245690
2025-Q1,Servicios,IT,Arquitecto de Software,Buenos Aires,5836000,6245700
2025-Q1,Servicios,IT,Arquitecto de Software,Cuyo,5369120,5746044
2025-Q1,Servicios,IT,Arquitecto de Software,Litoral,5369120,5746044
2025-Q1,Servicios,IT,Arquitecto de Software,NEA,5135680,5496216
2025-Q1,Servicios,IT,Arquitecto de Software,NOA,5135680,5496216
2025-Q1,Servicios,IT,Arquitecto de Software,Patagonia,5836000,6245700
2025-Q1,Transporte y logística,IT,Arquitecto de Software,Buenos Aires,5835047,6245660
2025-Q1,Transporte y logística,IT,Arquitecto de Software,Cuyo,5368243.24,5746007.2
2025-Q1,Transporte y logística,IT,Arquitecto de Software,Litoral,5368243.24,5746007.2
2025-Q1,Transporte y logística,IT,Arquitecto de Software,NEA,5134841.36,5496180.8
2025-Q1,Transporte y logística,IT,Arquitecto de Software,NOA,5134841.36,5496180.8
2025-Q1,Transporte y logística,IT,Arquitecto de Software,Patagonia,5835047,6245660
2025-Q1,Automotriz,IT,Consultor SAP,Buenos Aires,4140092,5169347
2025-Q1,Automotriz,IT,Consultor SAP,Cuyo,3808884.64,4755799.24
2025-Q1,Automotriz,IT,Consultor SAP,Litoral,3808884.64,4755799.24
2025-Q1,Automotriz,IT,Consultor SAP,NEA,3643280.96,4549025.36
2025-Q1,Automotriz,IT,Consultor SAP,NOA,3643280.96,4549025.36
2025-Q1,Automotriz,IT,Consultor SAP,Patagonia,4140092,5169347
2025-Q1,Banca & Serv Financieros,IT,Consultor SAP,Buenos Aires,4544690,7033452
2025-Q1,Banca & Serv Financieros,IT,Consultor SAP,Cuyo,4181114.8,6470775.84
2025-Q1,Banca & Serv Financieros,IT,Consultor SAP,Litoral,4181114.8,6470775.84
2025-Q1,Banca & Serv Financieros,IT,Consultor SAP,NEA,3999327.2,6189437.76
2025-Q1,Banca & Serv Financieros,IT,Consultor SAP,NOA,3999327.2,6189437.76
2025-Q1,Banca & Serv Financieros,IT,Consultor SAP,Patagonia,4544690,7033452
2025-Q1,Consumo masivo,IT,Consultor SAP,Buenos Aires,4140092,4800108
2025-Q1,Consumo masivo,IT,Consultor SAP,Cuyo,3808884.64,4416099.36
2025-Q1,Consumo masivo,IT,Consultor SAP,Litoral,3808884.64,4416099.36
2025-Q1,Consumo masivo,IT,Consultor SAP,NEA,3643280.96,4224095.04
2025-Q1,Consumo masivo,IT,Consultor SAP,NOA,3643280.96,4224095.04
2025-Q1,Consumo masivo,IT,Consultor SAP,Patagonia,4140092,4800108
2025-Q1,"Gas, Petróleo y Minería",IT,Consultor SAP,Buenos Aires,4544693,5269210
2025-Q1,"Gas, Petróleo y Minería",IT,Consultor SAP,Cuyo,4181117.56,4847673.2
2025-Q1,"Gas, Petróleo y Minería",IT,Consultor SAP,Litoral,4181117.56,4847673.2
2025-Q1,"Gas, Petróleo y Minería",IT,Consultor SAP,NEA,3999329.84,4636904.8
2025-Q1,"Gas, Petróleo y Minería",IT,Consultor SAP,NOA,3999329.84,4636904.8
2025-Q1,"Gas, Petróleo y Minería",IT,Consultor SAP,Patagonia,4544693,5269210
2025-Q1,IT,IT,Consultor SAP,Buenos Aires,4544690,5269210
2025-Q1,IT,IT,Consultor SAP,Cuyo,4181114.8,4847673.2
2025-Q1,IT,IT,Consultor SAP,Litoral,4181114.8,4847673.2
2025-Q1,IT,IT,Consultor SAP,NEA,3999327.2,4636904.8
2025-Q1,IT,IT,Consultor SAP,NOA,3999327.2,4636904.8
2025-Q1,IT,IT,Consultor SAP,Patagonia,4544690,5269210
2025-Q1,Lab & Pharma,IT,Consultor SAP,Buenos Aires,4544690,5269210
2025-Q1,Lab & Pharma,IT,Consultor SAP,Cuyo,4181114.8,4847673.2
2025-Q1,Lab & Pharma,IT,Consultor SAP,Litoral,4181114.8,4847673.2
2025-Q1,Lab & Pharma,IT,Consultor SAP,NEA,3999327.2,4636904.8
2025-Q1,Lab & Pharma,IT,Consultor SAP,NOA,3999327.2,4636904.8
2025-Q1,Lab & Pharma,IT,Consultor SAP,Patagonia,4544690,5269210
2025-Q1,Manufactura,IT,Consultor SAP,Buenos Aires,4140000,4801000
2025-Q1,Manufactura,IT,Consultor SAP,Cuyo,3808800,4416920
2025-Q1,Manufactura,IT,Consultor SAP,Litoral,3808800,4416920
2025-Q1,Manufactura,IT,Consultor SAP,NEA,3643200,4224880
2025-Q1,Manufactura,IT,Consultor SAP,NOA,3643200,4224880
2025-Q1,Manufactura,IT,Consultor SAP,Patagonia,4140000,4801000
2025-Q1,Retail & Comercio,IT,Consultor SAP,Buenos Aires,4141000,4800100
2025-Q1,Retail & Comercio,IT,Consultor SAP,Cuyo,3809720,4416092
2025-Q1,Retail & Comercio,IT,Consultor SAP,Litoral,3809720,4416092
2025-Q1,Retail & Comercio,IT,Consultor SAP,NEA,3644080,4224088
2025-Q1,Retail & Comercio,IT,Consultor SAP,NOA,3644080,4224088
2025-Q1,Retail & Comercio,IT,Consultor SAP,Patagonia,4141000,4800100
2025-Q1,Servicios,IT,Consultor SAP,Buenos Aires,4140090,4800000
2025-Q1,Servicios,IT,Consultor SAP,Cuyo,3808882.8,4416000
2025-Q1,Servicios,IT,Consultor SAP,Litoral,3808882.8,4416000
2025-Q1,Servicios,IT,Consultor SAP,NEA,3643279.2,4224000
2025-Q1,Servicios,IT,Consultor SAP,NOA,3643279.2,4224000
2025-Q1,Servicios,IT,Consultor SAP,Patagonia,4140090,4800000
2025-Q1,Transporte y logística,IT,Consultor SAP,Buenos Aires,4140092,4800550
2025-Q1,Transporte y logística,IT,Consultor SAP,Cuyo,3808884.64,4416506
2025-Q1,Transporte y logística,IT,Consultor SAP,Litoral,3808884.64,4416506
2025-Q1,Transporte y logística,IT,Consultor SAP,NEA,3643280.96,4224484
2025-Q1,Transporte y logística,IT,Consultor SAP,NOA,3643280.96,4224484
2025-Q1,Transporte y logística,IT,Consultor SAP,Patagonia,4140092,4800550
2025-Q1,Automotriz,IT,DBA Database administrator,Buenos Aires,4306804,5862988.828125
2025-Q1,Automotriz,IT,DBA Database administrator,Cuyo,3962259.68,5393949.721875
2025-Q1,Automotriz,IT,DBA Database administrator,Litoral,3962259.68,5393949.721875
2025-Q1,Automotriz,IT,DBA Database administrator,NEA,3789987.52,5159430.16875
2025-Q1,Automotriz,IT,DBA Database administrator,NOA,3789987.52,5159430.16875
2025-Q1,Automotriz,IT,DBA Database administrator,Patagonia,4306804,5862988.828125
2025-Q1,Banca & Serv Financieros,IT,DBA Database administrator,Buenos Aires,4101719,5862988.828125
2025-Q1,Banca & Serv Financieros,IT,DBA Database administrator,Cuyo,3773581.48,5393949.721875
2025-Q1,Banca & Serv Financieros,IT,DBA Database administrator,Litoral,3773581.48,5393949.721875
2025-Q1,Banca & Serv Financieros,IT,DBA Database administrator,NEA,3609512.72,5159430.16875
2025-Q1,Banca & Serv Financieros,IT,DBA Database administrator,NOA,3609512.72,5159430.16875
2025-Q1,Banca & Serv Financieros,IT,DBA Database administrator,Patagonia,4101719,5862988.828125
2025-Q1,Consumo masivo,IT,DBA Database administrator,Buenos Aires,4101719,4864504.398125
2025-Q1,Consumo masivo,IT,DBA Database administrator,Cuyo,3773581.48,4475344.046275
2025-Q1,Consumo masivo,IT,DBA Database administrator,Litoral,3773581.48,4475344.046275
2025-Q1,Consumo masivo,IT,DBA Database administrator,NEA,3609512.72,4280763.87035
2025-Q1,Consumo masivo,IT,DBA Database administrator,NOA,3609512.72,4280763.87035
2025-Q1,Consumo masivo,IT,DBA Database administrator,Patagonia,4101719,4864504.398125
2025-Q1,"Gas, Petróleo y Minería",IT,DBA Database administrator,Buenos Aires,4306804,5262988.828125
2025-Q1,"Gas, Petróleo y Minería",IT,DBA Database administrator,Cuyo,3962259.68,4841949.721875
2025-Q1,"Gas, Petróleo y Minería",IT,DBA Database administrator,Litoral,3962259.68,4841949.721875
2025-Q1,"Gas, Petróleo y Minería",IT,DBA Database administrator,NEA,3789987.52,4631430.16875
2025-Q1,"Gas, Petróleo y Minería",IT,DBA Database administrator,NOA,3789987.52,4631430.16875
2025-Q1,"Gas, Petróleo y Minería",IT,DBA Database administrator,Patagonia,4306804,5262988.828125
2025-Q1,IT,IT,DBA Database administrator,Buenos Aires,4306804,5262988.828125
2025-Q1,IT,IT,DBA Database administrator,Cuyo,3962259.68,4841949.721875
2025-Q1,IT,IT,DBA Database administrator,Litoral,3962259.68,4841949.721875
2025-Q1,IT,IT,DBA Database administrator,NEA,3789987.52,4631430.16875
