Unnamed: 0,Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
110,207,2015-10-01 08:23:57,2015-10-01 08:27:25,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24702,Subscriber,1985.0,1,3
111,666,2015-10-01 08:24:28,2015-10-01 08:35:35,3203,Hamilton Park,40.727595966,-74.044247311,3184,Paulus Hook,40.7141454,-74.0335519,24572,Subscriber,1982.0,1,11
112,871,2015-10-01 08:25:05,2015-10-01 08:39:37,3220,5 Corners Library,40.73496102000952,-74.05950307846071,3185,City Hall,40.7177325,-74.04384499999999,24409,Subscriber,1978.0,2,15
113,229,2015-10-01 08:26:15,2015-10-01 08:30:05,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24670,Subscriber,1981.0,2,4
114,306,2015-10-01 08:27:17,2015-10-01 08:32:24,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24640,Subscriber,1984.0,1,5
115,649,2015-10-01 08:27:52,2015-10-01 08:38:41,3196,Riverview Park,40.7443187,-74.04399090000001,3211,Newark Ave,40.72152515,-74.046304543,24665,Subscriber,1975.0,1,11
116,603,2015-10-01 08:29:22,2015-10-01 08:39:25,3199,Newport Pkwy,40.7287448,-74.03210820000001,3183,Exchange Place,40.7162469,-74.0334588,24548,Subscriber,1985.0,1,10
117,464,2015-10-01 08:29:39,2015-10-01 08:37:24,3213,Van Vorst Park,40.71848892,-74.047726625,3184,Paulus Hook,40.7141454,-74.0335519,24391,Customer,1984.0,0,8
118,3813,2015-10-01 08:29:49,2015-10-01 09:33:22,3203,Hamilton Park,40.727595966,-74.044247311,3203,Hamilton Park,40.727595966,-74.044247311,24455,Subscriber,1985.0,2,64
119,391,2015-10-01 08:30:13,2015-10-01 08:36:45,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24700,Subscriber,1968.0,1,7
120,1077,2015-10-01 08:30:23,2015-10-01 08:48:20,3207,Oakland Ave,40.7376037,-74.05247829999999,3183,Exchange Place,40.7162469,-74.0334588,24489,Subscriber,1981.0,1,18
121,367,2015-10-01 08:30:38,2015-10-01 08:36:45,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24415,Subscriber,1957.0,2,6
122,369,2015-10-01 08:30:37,2015-10-01 08:36:46,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24618,Subscriber,1977.0,2,6
123,472,2015-10-01 08:31:27,2015-10-01 08:39:19,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.730742625306576,-74.06378388404845,24470,Subscriber,1990.0,2,8
124,422,2015-10-01 08:31:58,2015-10-01 08:39:00,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.03375890000001,24574,Subscriber,1981.0,1,7
125,1049,2015-10-01 08:33:00,2015-10-01 08:50:29,3207,Oakland Ave,40.7376037,-74.05247829999999,3183,Exchange Place,40.7162469,-74.0334588,24651,Subscriber,1989.0,1,17
126,343,2015-10-01 08:33:12,2015-10-01 08:38:55,3203,Hamilton Park,40.727595966,-74.044247311,3187,Warren St,40.721123600000006,-74.03805095,24658,Subscriber,1983.0,1,6
127,221,2015-10-01 08:34:41,2015-10-01 08:38:22,3187,Warren St,40.721123600000006,-74.03805095,3186,Grove St PATH,40.71958611647166,-74.0431174635887,17653,Subscriber,1989.0,2,4
128,207,2015-10-01 08:34:48,2015-10-01 08:38:16,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,24513,Subscriber,1962.0,1,3
129,355,2015-10-01 08:35:11,2015-10-01 08:41:07,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.03375890000001,24671,Subscriber,1954.0,1,6
130,1869,2015-10-01 08:35:52,2015-10-01 09:07:02,3215,Central Ave,40.7467299,-74.0492509,3202,Newport PATH,40.7272235,-74.03375890000001,24644,Subscriber,1982.0,1,31
131,448,2015-10-01 08:36:11,2015-10-01 08:43:40,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24517,Subscriber,1968.0,1,7
132,1246,2015-10-01 08:38:08,2015-10-01 08:58:55,3196,Riverview Park,40.7443187,-74.04399090000001,3184,Paulus Hook,40.7141454,-74.0335519,24608,Subscriber,1984.0,1,21
133,163,2015-10-01 08:38:08,2015-10-01 08:40:52,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,24649,Subscriber,1983.0,1,3
134,1282,2015-10-01 08:38:30,2015-10-01 08:59:53,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3202,Newport PATH,40.7272235,-74.03375890000001,24435,Subscriber,1985.0,1,21
