Anio,Mes,Periodo,Dia,Fecha,Franja_Horaria,Tipo,Subtipo,Uso_Arma,Uso_Moto,Barrio,Comuna,Cantidad
2016,Febrero,Feb-2016,Lunes,2016-02-15,13,Robo,Robo total,no,si,VERSALLES,10,1
2016,Febrero,Feb-2016,Martes,2016-02-02,16,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-22,21,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-24,14,Robo,Robo total,no,si,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Domingo,2016-02-21,23,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Jueves,2016-01-21,17,Robo,Robo total,si,si,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Martes,2016-02-02,13,Robo,Robo total,si,si,VERSALLES,10,1
2016,Febrero,Feb-2016,Jueves,2016-02-18,15,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-24,17,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-08,20,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-03,21,Robo,Robo automotor,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-03,16,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,18,Robo,Robo total,si,no,LINIERS,9,1
2016,Febrero,Feb-2016,Viernes,2016-02-05,5,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,14,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Sábado,2016-02-27,1,Robo,Robo total,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-29,20,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Jueves,2016-02-25,13,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Sábado,2016-02-27,17,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Martes,2016-02-09,0,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-17,8,Robo,Robo automotor,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-12,19,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-17,7,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,14,Robo,Robo total,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-01,8,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-08,17,Robo,Robo total,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-10,18,Robo,Robo total,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-12,15,Robo,Robo automotor,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-22,9,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-05,17,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Miércoles,2016-02-10,21,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Martes,2016-02-02,8,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,2,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-29,10,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Viernes,2016-02-12,17,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-22,19,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-03,10,Robo,Robo total,no,si,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Sábado,2016-02-20,10,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Jueves,2016-02-18,16,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Domingo,2016-02-14,9,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Viernes,2016-02-12,11,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Domingo,2016-02-14,7,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Viernes,2016-02-26,13,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Lunes,2016-02-29,15,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Martes,2016-02-23,17,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,17,Robo,Robo total,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-08,11,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,14,Robo,Robo total,no,no,MATADEROS,9,1
2016,Febrero,Feb-2016,Viernes,2016-02-05,1,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-26,21,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Domingo,2016-02-28,11,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-10,20,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Martes,2016-02-16,21,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Martes,2016-02-09,0,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Martes,2016-02-09,0,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-19,17,Robo,Robo total,si,si,MONTE CASTRO,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-19,2,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Martes,2016-02-16,8,Robo,Robo total,no,no,MATADEROS,9,1
2016,Febrero,Feb-2016,Viernes,2016-02-05,10,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Febrero,Feb-2016,Jueves,2016-02-04,10,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Jueves,2016-02-04,0,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,2,Robo,Robo total,no,no,MONTE CASTRO,10,1
2016,Febrero,Feb-2016,Martes,2016-02-09,22,Robo,Robo automotor,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-05,8,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Jueves,2016-02-25,15,Robo,Robo total,no,no,VILLA DEVOTO,11,1
